"HolderAddress","Balance","PendingBalanceUpdate"
"0x042fef60ad51f48c65e6106f9b950178910a3300","450,284.293064642556324","No"
"0x455fd3ae52a8ab80f319a1bf912457aa8296695a","44,178.369490307323867125","Yes"
"0x287110f1c99551b377955b64a38a1b026aa9a35a","4,519.285595843500435853","No"
"0x2ac0c3f0d2eda7b24eff8012a70a03422c8d2b91","2,209.208114610053939687","No"
"0x8a49f5548f716dccd1db9dc345fb02da9d2c42c3","1,908.616271228433831827","No"
"0x2b574f753b9613029eabcf7cdb9d9b910d5ae311","1,286.489111666619338681","No"
"0x52fd6fa754dfe88249dad4c7be106c46392a8c1d","1,107.487576075514849905","No"
"0x05789c67f19404ec9fb3e8521579b6186ec4b3c9","1,106.380365371333353935","No"
"0x62d23ee20c5aa2b1d0f8f418414bafcef8a9aa1f","1,105.859478822055182954","No"
"0xa3db0778b38398923867e60adf875325339bc374","975.37109162315924586","No"
"0xfbe353ec512fc1686d904465b66e3a93a67598c8","875.117950554671598226","No"
"0x306feaa9d555b0f97719352043ddc03b2f108dbd","674.180968808817795716","No"
"0xa2c829b3521dd0b91de2a2833c86cf2cbdba1aea","538.14600015051805461","No"
"0x446504819a921736ef5dd034d2c9e45bb698fcef","463.28319873294443802","No"
"0x57b2e0a2b28bd6821f4ac95175487b98c4269203","457.684476773019543211","No"
"0xa35ae25d08b2242759a89166858abe86b8f544cf","452.583629275344033724","No"
"0x5e62b1b5745a0a144c9ffb8873cca34a85dc5fbc","357.905747712438008358","No"
"0x280fcde4b685c30c0ed124c34fcc4d58850f4c81","311.273800982526797136","No"
"0x779768e8405eaf09dee8da356b1eb3bfdb0383e1","287.335422990896966712","No"
"0x22b6a0c71dedcef295423c17b84b08f46082ac1a","286.98904287165934927","No"
"0x208ee67ccb35202b626f2b3401b1c118b517ad7c","275.737987863686692652","No"
"0xf2870dde3e94663ce8c7aaf242ca20ce07c5d02b","267.571201548654138345","No"
"0x8806c1f851fb7a26af35171c0ec4ec2242bd723f","256.082079838635041359","No"
"0xe3970e13c208454e59e8fb96f8530de80554fc5d","238.424065360345187724","No"
"0xf4c06a94799d7148b4c761ad17b52aa6254de8fa","232.628227182613310564","No"
"0x37f2d6811ca87b3a33365d7728e81bdc12caf820","219.896707001457933087","No"
"0xa02648567b588f6dbad0ed6713c0f74352bda1f4","217.719907600646158027","Yes"
"0xe84f39d70b0f2c5fada69008a3803bce12286227","213.422014972285752994","No"
"0xeb7790107ef32c7d54809ff28c04df61b1d40b46","213.421809049375765651","No"
"0x79b08024d35c054a6e9bbe513bed990c0039da98","213.248900013857707467","No"
"0x8f4acb8c705464fcfa72afcc147e05b7faa2f601","213.211549622896210144","No"
"0xf4319b7f94acf99ed27978797935189bd8c68648","211.23811158417077905","No"
"0x3358d839b6db1c6a8a68c0751b700cf5bba505b1","204.111573518381968281","No"
"0x77b33e600b1e101b9206db3c9258599e3738acd6","203.463548992297988187","No"
"0xb4cbc62a4615955bce9d09323956bcee8237aa8c","203.432259835976110876","No"
"0x0302adf2b750aa8c24b9c41b0fd4635add36a192","199.231699796663438891","No"
"0xe6de2f195aaa52df0bd7ab05dda5731dd34f96a3","197.115547480474673614","No"
"0x40db27b9d058900a483f06e1b016d77389f00737","183.474811079670589372","No"
"0x9a5757395d8eb504bf984aef9c57f931bfa2c38c","182.780250064187312715","No"
"0xa6d28b0602edb03ed5010465569ef398a307fb6b","181.776544457855179989","No"
